[26-02-2022 19:34:24] | dev | INFO    | ProductDescriptionModel(id=11, modified_at=None, inserted_at=datetime.datetime(2022, 2, 26, 19, 24, 4), created_at=datetime.datetime(2022, 2, 26, 19, 24, 4), name='Compal Frutos Vermelhos', category='Sumos', subcategory='Nectares', internal_code=3249, ean=3517721165, product_dimensions=ProductDimensionsModel(id=11, modified_at=None, inserted_at=datetime.datetime(2022, 2, 26, 19, 24, 4), created_at=datetime.datetime(2022, 2, 26, 19, 24, 4), unity_of_measure='unidade', unity_per_pack=75, pack_per_level=12, level_per_pallet=4, unity_area=199), product_periodicity=ProductPeriodicityModel(id=11, modified_at=None, inserted_at=datetime.datetime(2022, 2, 26, 19, 24, 4), created_at=datetime.datetime(2022, 2, 26, 19, 24, 4), entry_on_warehouse=datetime.date(2000, 9, 17), expire_date=datetime.date(2010, 4, 19)))
[26-02-2022 19:34:24] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:34:24] | dev | INFO    | DELETE operation request ...
[26-02-2022 19:34:24] | dev | INFO    | ProductDimensionsModel(id=12, modified_at=None, inserted_at=datetime.datetime(2022, 2, 26, 19, 27, 20), created_at=datetime.datetime(2022, 2, 26, 19, 27, 20), unity_of_measure='unidade', unity_per_pack=90, pack_per_level=25, level_per_pallet=1, unity_area=219)
[26-02-2022 19:34:24] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:34:24] | dev | INFO    | DELETE operation request ...
[26-02-2022 19:34:24] | dev | INFO    | ProductPeriodicityModel(id=12, modified_at=None, inserted_at=datetime.datetime(2022, 2, 26, 19, 27, 20), created_at=datetime.datetime(2022, 2, 26, 19, 27, 20), entry_on_warehouse=datetime.date(2000, 9, 22), expire_date=datetime.date(2010, 10, 5))
[26-02-2022 19:34:41] | dev | INFO    | Classes have been mapped
[26-02-2022 19:34:41] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:34:41] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:34:41] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:34:41] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:34:41] | dev | INFO    | DELETE operation request ...
[26-02-2022 19:34:41] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:34:41] | dev | INFO    | DELETE operation request ...
[26-02-2022 19:34:41] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:34:41] | dev | INFO    | DELETE operation request ...
[27-02-2022 15:39:49] | dev | INFO    | Classes have been mapped
[27-02-2022 15:39:49] | dev | INFO    | INSERT operation request ...
[27-02-2022 15:39:49] | dev | INFO    | INSERT operation request ...
[27-02-2022 15:39:49] | dev | INFO    | INSERT operation request ...
[27-02-2022 15:39:49] | dev | INFO    | SELECT ALL operation request ...
[27-02-2022 15:39:49] | dev | INFO    | DELETE operation request ...
[27-02-2022 15:39:49] | dev | INFO    | SELECT ALL operation request ...
[27-02-2022 15:39:49] | dev | INFO    | DELETE operation request ...
[27-02-2022 15:39:49] | dev | INFO    | SELECT ALL operation request ...
[27-02-2022 15:39:49] | dev | INFO    | DELETE operation request ...
[27-02-2022 15:40:20] | dev | INFO    | Classes have been mapped
[27-02-2022 15:40:20] | dev | INFO    | INSERT operation request ...
[27-02-2022 15:40:20] | dev | INFO    | INSERT operation request ...
[27-02-2022 15:40:20] | dev | INFO    | INSERT operation request ...
[27-02-2022 15:40:20] | dev | INFO    | SELECT ALL operation request ...
[27-02-2022 15:40:20] | dev | INFO    | DELETE operation request ...
[27-02-2022 15:40:20] | dev | INFO    | SELECT ALL operation request ...
[27-02-2022 15:40:20] | dev | INFO    | DELETE operation request ...
[27-02-2022 15:40:20] | dev | INFO    | SELECT ALL operation request ...
[27-02-2022 15:40:20] | dev | INFO    | DELETE operation request ...
[27-02-2022 15:41:05] | dev | INFO    | Classes have been mapped
[27-02-2022 15:41:05] | dev | INFO    | INSERT operation request ...
[27-02-2022 15:41:05] | dev | INFO    | INSERT operation request ...
[27-02-2022 15:41:05] | dev | INFO    | INSERT operation request ...
[27-02-2022 15:41:05] | dev | INFO    | SELECT ALL operation request ...
[27-02-2022 15:41:05] | dev | INFO    | DELETE operation request ...
[27-02-2022 15:41:05] | dev | INFO    | SELECT ALL operation request ...
[27-02-2022 15:41:05] | dev | INFO    | SELECT ALL operation request ...
